SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
73.61716095,4.191405673,89.16236695,31.95336565,28.65064919,117.246139,15.04903791,Normal,96.99019242,Li-ion,581,Model B,2
75.61064512,3.799441194,88.35205825,37.32191267,26.50718346,71.80104314,11.63004815,Fast,97.67399037,Li-ion,122,Model C,1
79.4143312,3.769028653,31.49165902,38.93467458,23.58124739,81.41862443,12.70233566,Normal,97.45953287,LiFePO4,659,Model C,2
16.66401866,3.975753098,50.61154098,22.11811609,20.51845389,43.66097827,5.577521593,Slow,98.88449568,LiFePO4,208,Model B,1
42.26191557,3.652777722,98.64906905,23.09657225,30.37162662,68.34980851,8.963741767,Fast,98.20725165,LiFePO4,395,Model B,1
20.42821536,4.164972829,79.48112287,38.89472518,19.5254486,62.9149492,8.20905946,Slow,98.35818811,Li-ion,105,Model A,1
87.67930833,4.05044151,12.44506791,34.73070457,28.84708612,27.4895842,8.411299328,Fast,98.31774013,LiFePO4,649,Model A,0
66.09683141,3.562587702,15.86841321,37.6598765,19.66665645,30.61603535,7.739171675,Normal,98.45216566,Li-ion,780,Model A,0
39.78082224,3.792306543,51.75382391,24.05265268,27.5066034,103.747252,11.83727808,Slow,97.63254438,Li-ion,967,Model A,2
15.72025153,4.115382815,91.82981853,31.75171742,29.94156534,43.98199522,6.038764716,Normal,98.79224706,LiFePO4,894,Model C,1
37.98840895,4.161312416,58.48316182,34.02279189,19.37427778,39.49582715,6.891878971,Normal,98.62162421,LiFePO4,302,Model C,0
39.26649898,3.827181058,54.80312572,33.60223771,16.19886602,70.49114513,9.517698928,Fast,98.09646021,LiFePO4,424,Model A,1
75.66455605,3.929387972,19.492633,28.16303382,17.61947486,96.87471314,13.26427225,Slow,97.34714555,LiFePO4,924,Model A,2
67.38017242,3.616923762,69.11020943,20.30789783,27.11993935,26.19465186,6.567291168,Normal,98.68654177,LiFePO4,884,Model B,0
89.84914683,4.193818038,83.98928445,31.65852114,31.98892812,77.68079196,12.54878273,Fast,97.49024345,Li-ion,343,Model C,1
52.49934326,3.662170191,44.23780068,25.06203078,15.89993642,31.92104428,6.538155726,Fast,98.69236885,Li-ion,426,Model C,0
20.76348213,4.159912242,79.80506658,29.00508492,29.68302518,23.64610508,4.45893711,Fast,99.10821258,Li-ion,146,Model A,0
74.19203085,3.954752654,96.80289885,39.1516203,21.82637292,25.27439522,7.773382159,Normal,98.44532357,LiFePO4,860,Model C,0
78.47065438,3.925415756,28.33898132,27.98070635,24.5705674,103.4164108,13.94060227,Fast,97.21187955,Li-ion,690,Model B,2
60.51494778,3.858881958,57.09966681,36.79603213,33.577191,31.79724836,7.515319693,Slow,98.49693606,LiFePO4,721,Model B,0
79.3870462,3.661468868,35.84241623,23.77081211,21.63943009,24.51513644,7.200820952,Slow,98.55983581,LiFePO4,112,Model C,0
54.44160367,3.623569622,81.35689771,33.44920996,24.30673868,63.78998871,9.710373075,Normal,98.05792539,Li-ion,479,Model A,1
57.04595464,3.654340346,61.98340293,39.54013909,15.2736483,104.3993472,13.52925029,Slow,97.29414994,Li-ion,464,Model C,2
48.47869165,3.630506784,67.11241758,22.03786202,16.6319744,46.24083765,7.379230821,Fast,98.52415384,LiFePO4,701,Model B,1
12.28772141,4.045709131,81.81227437,20.16639884,20.17183182,62.17126175,6.803644492,Normal,98.6392711,Li-ion,441,Model A,1
19.71022843,3.745087681,45.63734254,28.67165585,15.55704482,23.99225326,4.418448652,Fast,99.11631027,LiFePO4,959,Model C,0
12.82862671,3.540489874,92.35810616,21.85250966,27.62750652,64.90785141,7.143044436,Normal,98.57139111,Li-ion,891,Model A,1
67.27693701,4.178371841,57.97259805,34.96768699,23.52796714,77.76130806,11.59234021,Normal,97.68153196,Li-ion,320,Model A,1
38.2920383,4.118650119,24.21593406,38.29097328,25.96290405,77.09070538,10.25337603,Fast,97.94932479,Li-ion,172,Model B,1
55.7713622,4.149426598,72.63092064,28.68041945,18.49294372,53.24266922,8.659478184,Slow,98.26810436,Li-ion,845,Model A,1
91.68098265,4.196435476,81.39352154,25.17423284,20.91864059,51.55331807,10.13887061,Slow,97.97222588,Li-ion,871,Model C,1
32.43630062,3.621726674,38.50855094,28.68806638,28.2764895,30.66236189,5.611415175,Normal,98.87771697,LiFePO4,724,Model A,0
46.93446307,3.777369413,87.14613313,34.46895636,34.30605447,56.67983206,8.79349031,Fast,98.24130194,Li-ion,145,Model A,1
77.99960247,4.030766933,91.55289293,20.18108323,16.00833547,29.94946689,7.404823192,Fast,98.51903536,Li-ion,603,Model C,0
30.59183489,3.987214433,34.92140386,31.78907979,32.80768642,96.65959447,11.17401194,Normal,97.76519761,Li-ion,373,Model B,2
16.92819188,3.607727134,98.51693254,32.2658337,26.53762403,116.6274298,12.17865376,Slow,97.56426925,LiFePO4,654,Model B,2
36.07763076,4.071083187,22.66403752,32.75376494,26.27839134,117.0074457,13.19219026,Fast,97.36156195,LiFePO4,307,Model C,2
24.50991585,3.6571084,28.18141016,24.8404416,25.0055707,106.5071099,11.34311037,Slow,97.73137793,LiFePO4,960,Model C,2
93.67278871,3.65667233,26.58023553,34.28105447,16.38788172,80.07921493,13.07096007,Slow,97.38580799,LiFePO4,714,Model B,2
82.73083416,3.875882096,90.4590739,21.82782973,16.79753703,90.08656972,12.73514734,Normal,97.45297053,LiFePO4,223,Model A,2
67.00633809,3.915057954,68.88632971,23.98540673,27.01824011,48.52058027,8.59296893,Normal,98.28140621,Li-ion,109,Model C,1
88.43145312,3.906060345,23.68938549,37.54940093,21.81917143,83.07704202,13.22212954,Slow,97.35557409,Li-ion,428,Model A,2
82.33048692,3.564040786,49.62910765,34.77446301,33.34536133,65.56495494,11.31899374,Fast,97.73620125,Li-ion,286,Model C,1
26.7913053,4.114222604,65.37682226,20.27491108,23.13181075,68.20173398,8.03678865,Fast,98.39264227,LiFePO4,642,Model B,1
90.33030986,3.68592003,17.51176765,24.96752521,17.86562917,95.77765604,13.74636309,Normal,97.25072738,LiFePO4,767,Model A,2
58.54080177,3.590660445,89.41747316,24.28812966,29.29437667,48.19183556,8.157432868,Slow,98.36851343,Li-ion,159,Model A,1
82.66961396,4.122123656,82.32431819,25.41612656,20.86706843,51.80396117,9.72128379,Fast,98.05574324,LiFePO4,860,Model C,1
90.64821699,4.168956049,55.46860962,24.95119541,25.50940615,112.4641791,15.15198555,Fast,96.96960289,LiFePO4,998,Model A,2
38.62031275,4.103489332,97.04139537,21.25052591,28.95665571,25.62242949,5.12874439,Normal,98.97425112,LiFePO4,985,Model C,0
19.90467321,4.066661252,47.59848813,29.17881033,33.00528222,68.56342984,8.16779333,Slow,98.36644133,Li-ion,881,Model B,1
30.51416463,3.958669386,98.56992871,34.6546695,30.8438239,111.28008,12.53178171,Fast,97.49364366,Li-ion,541,Model A,2
48.43970098,3.885600159,70.11279989,32.13463449,28.52722136,81.03630078,10.78174184,Normal,97.84365163,LiFePO4,316,Model C,2
83.62132893,3.560890732,67.12041459,33.45743337,28.59266365,74.64070742,12.07399707,Fast,97.58520059,LiFePO4,101,Model A,1
87.46575249,3.785917249,24.93594058,21.62298357,33.91849288,44.97441792,9.202304963,Fast,98.15953901,LiFePO4,635,Model C,1
10.62569175,3.760881962,89.37349825,39.0298142,20.91648195,54.32754891,7.01007104,Fast,98.59798579,LiFePO4,817,Model C,1
55.96725723,3.681827649,48.47407191,36.76983668,15.02224188,105.2048416,13.40392483,Normal,97.31921503,Li-ion,931,Model C,2
47.56699028,4.00639408,24.60100652,36.10180637,20.43909119,75.92181318,10.5102576,Slow,97.89794848,LiFePO4,810,Model B,1
29.98970294,3.847113015,11.1346768,36.4596761,19.35782759,71.47421938,9.2786539,Normal,98.14426922,Li-ion,455,Model A,1
20.78788306,3.556732351,60.37801153,38.65421016,28.2366917,29.95797135,5.468602274,Slow,98.90627955,Li-ion,725,Model B,0
40.38536543,3.654128241,57.46596599,30.88507932,27.674232,21.60281565,5.363756875,Fast,98.92724863,Li-ion,891,Model C,0
94.86187335,3.978281135,74.74182601,24.00564036,26.86922765,116.3685189,15.64075226,Slow,96.87184955,LiFePO4,766,Model C,2
39.08826388,3.553291602,90.12322477,32.33567216,15.32486886,57.69861673,8.379414863,Fast,98.32411703,Li-ion,264,Model B,1
56.69115596,4.09584484,17.14659262,34.85762987,29.57556109,80.32130621,11.27088148,Fast,97.7458237,Li-ion,833,Model B,2
73.2717063,3.846602569,75.83468413,34.75834787,21.47060825,27.97150732,7.732461652,Normal,98.45350767,LiFePO4,190,Model A,0
42.72666421,3.836410604,26.86707497,30.42898048,28.30111978,88.31142857,11.01706795,Fast,97.79658641,LiFePO4,266,Model C,2
97.46038744,3.914685449,87.23593478,21.36917439,26.13156857,113.2566709,15.379534,Normal,96.9240932,LiFePO4,306,Model B,2
96.62025654,4.077276676,83.71571625,27.42225877,21.85461851,77.5665253,12.66600287,Slow,97.46679943,Li-ion,381,Model C,1
32.66040662,3.743466446,58.67143795,38.41533217,17.69152534,32.61153224,6.271414626,Slow,98.74571707,LiFePO4,164,Model C,0
54.75236553,3.974611307,73.92185188,31.6889782,16.88837795,78.17215275,10.83641325,Fast,97.83271735,Li-ion,987,Model A,1
37.07904788,3.896012375,38.29151019,30.76663887,31.63036666,96.63472131,11.44517778,Normal,97.71096444,Li-ion,615,Model A,2
35.63564449,3.686919789,52.4051109,25.37707029,33.36795084,60.64165366,8.104106877,Fast,98.37917862,LiFePO4,256,Model A,1
13.31982526,4.11504099,83.94732079,27.3689784,27.99576094,107.9837748,11.03308808,Normal,97.79338238,Li-ion,860,Model B,2
64.86079006,4.058198215,51.33386775,37.90692178,17.0686823,84.86829534,12.21074354,Normal,97.55785129,Li-ion,868,Model C,2
55.24111209,3.960916284,42.20184388,33.32926095,23.04054434,109.9248918,13.5889263,Normal,97.28221474,Li-ion,846,Model B,2
14.63308761,4.09540721,54.47912025,35.74774054,29.578784,82.35053112,9.381585668,Slow,98.12368287,Li-ion,405,Model B,2
35.07818178,4.107105941,84.54243272,29.08690846,30.59641768,33.1287972,5.968987612,Normal,98.80620248,LiFePO4,977,Model A,0
91.74392974,3.995854084,40.16872426,32.60494439,17.36437245,50.96917111,10.46487463,Slow,97.90702507,Li-ion,494,Model C,1
31.56057016,4.08590933,25.63854338,24.96767217,15.00061438,40.17949483,6.174703352,Normal,98.76505933,LiFePO4,173,Model C,1
23.04053849,3.988230023,74.08126183,34.10921661,29.24274092,110.8826498,12.09770857,Slow,97.58045829,Li-ion,286,Model A,2
54.05074842,3.97609854,84.33803914,28.55202667,22.13192352,96.04000673,12.13347265,Slow,97.57330547,Li-ion,673,Model C,2
98.70854087,3.933027965,19.05737307,28.8509103,20.08962663,87.63983689,13.6812923,Slow,97.26374154,LiFePO4,436,Model A,2
31.78497444,4.026901648,31.58867015,32.98644649,15.2579494,50.09663196,7.413290377,Fast,98.51734192,Li-ion,775,Model B,1
70.49219927,3.611023574,22.77747908,38.72561243,25.80598814,38.40447721,8.661263685,Normal,98.26774726,Li-ion,667,Model B,0
78.54576538,4.116609531,41.31472704,21.28012693,32.02301471,95.6451088,12.96172035,Fast,97.40765593,Li-ion,722,Model A,2
31.38737896,4.110290469,50.5315881,36.49486475,34.15263293,67.41579459,9.012095068,Normal,98.19758099,Li-ion,829,Model B,1
75.53947138,3.520473098,77.39437033,25.84766221,26.31489901,42.57895522,8.617602947,Normal,98.27647941,Li-ion,339,Model B,1
43.10048194,4.078071725,68.60328264,28.87838909,25.28922655,81.66219782,10.4041267,Fast,97.91917466,Li-ion,632,Model A,2
66.90752475,3.590208907,65.88357107,20.43826658,16.70112771,24.03338521,6.370071668,Slow,98.72598567,LiFePO4,240,Model B,0
67.01767397,3.734583198,41.71374519,26.02092156,25.97745603,52.61702541,9.036681894,Normal,98.19266362,LiFePO4,364,Model C,1
58.21972157,4.020455779,85.73027978,30.05262485,22.59958158,66.85569946,9.984925609,Slow,98.00301488,LiFePO4,238,Model B,1
18.1260793,3.612531927,52.41584507,21.12352155,27.14270562,34.79583341,4.862132827,Fast,99.02757343,Li-ion,558,Model A,0
85.1772246,4.072576917,98.11944442,29.82191459,22.77452696,118.4654478,15.62207761,Slow,96.87558448,Li-ion,169,Model C,2
38.87020585,4.082493925,67.07279245,38.54221258,19.80598247,40.90973646,7.279765626,Normal,98.54404687,Li-ion,484,Model C,1
26.78666594,3.855227414,21.36382674,22.10786436,16.8993055,33.035313,5.197669265,Normal,98.96046615,LiFePO4,729,Model B,0
13.66976274,3.50447011,70.85598059,35.28881456,21.29836889,40.35348739,5.810719481,Normal,98.8378561,Li-ion,297,Model C,1
63.18036489,3.700926693,39.25936139,28.19342107,16.93289669,96.90611332,12.64419874,Fast,97.47116025,LiFePO4,304,Model A,2
70.98079257,3.931848843,71.7694477,33.10347429,18.53793902,62.55056593,10.4167605,Normal,97.9166479,Li-ion,825,Model C,1
11.4929046,4.186830325,16.26770333,25.20473196,34.74672317,76.54159398,8.213347993,Fast,98.3573304,Li-ion,667,Model B,1
56.08837525,3.942269469,25.73932935,23.18984525,23.88207114,22.1009157,5.805654,Slow,98.8388692,Li-ion,898,Model B,0
30.38461977,3.681862507,87.0163533,23.20925229,25.63743533,23.44313086,4.633287841,Normal,99.07334243,LiFePO4,904,Model C,0
68.06555114,3.943803992,30.44616013,21.40983891,32.47237057,64.58255498,9.855649084,Normal,98.02887018,Li-ion,786,Model A,1
25.69297861,3.877989766,85.33370127,23.7129341,34.91137801,101.6655243,10.94242266,Normal,97.81151547,LiFePO4,958,Model A,2
72.18439643,4.045891777,35.13484796,33.2843877,26.65428899,108.5238879,14.31709653,Slow,97.13658069,Li-ion,981,Model B,2
44.80618117,3.574886447,67.85937191,37.63381224,31.24947642,28.67065676,6.511221067,Normal,98.69775579,Li-ion,739,Model B,0
94.30569899,4.032719532,72.47355162,36.28251371,21.53882049,73.83631021,12.68243649,Fast,97.4635127,LiFePO4,530,Model A,1
22.37688497,3.878886605,56.13892778,33.7026862,21.11487915,111.3229686,12.08089261,Slow,97.58382148,Li-ion,989,Model C,2
40.69597159,4.174094403,37.4779609,22.20863727,23.05407442,58.79727544,8.045003396,Slow,98.39099932,Li-ion,424,Model C,1
20.21261691,3.739310516,29.13799387,25.78374893,28.45014525,102.9565831,10.87953355,Slow,97.82409329,Li-ion,541,Model C,2
93.22242565,3.942835325,12.98704191,26.19613751,28.64383379,33.36956544,8.751725278,Slow,98.24965494,Li-ion,903,Model C,0
88.9605418,4.152419674,37.35517611,24.99913893,21.30478869,113.539449,15.15960478,Slow,96.96807904,LiFePO4,387,Model A,2
33.21474649,3.57175681,68.78465115,30.30011319,17.66419848,95.14233175,11.10427063,Fast,97.77914587,LiFePO4,325,Model B,2
69.39856414,4.156059941,94.44743366,30.7110763,27.64792513,114.1334393,14.51660196,Slow,97.09667961,Li-ion,163,Model B,2
83.54999802,3.981520006,88.4084034,27.1377195,17.56651724,87.66172336,12.83952949,Normal,97.4320941,Li-ion,659,Model C,2
59.96807304,3.547485941,78.94582989,27.07578317,26.56985016,56.3403932,9.047225578,Slow,98.19055488,LiFePO4,813,Model A,1
57.66855205,3.710674497,80.96026089,36.57111196,28.86844256,113.8181173,14.1968263,Slow,97.16063474,Li-ion,597,Model A,2
31.76670618,3.995720462,69.84864131,35.78585697,29.01222993,47.55667763,7.340684627,Slow,98.53186307,LiFePO4,948,Model C,1
18.3792491,3.547145421,33.42581718,26.15591663,30.06944221,53.21725221,6.661529304,Slow,98.66769414,Li-ion,159,Model C,1
90.74941822,3.907519322,91.64755276,38.27576888,32.45718843,90.0808418,13.95799617,Slow,97.20840077,LiFePO4,496,Model C,2
91.03762514,3.74211814,70.36590807,39.05630034,24.99917984,96.53162995,14.54899877,Fast,97.09020025,LiFePO4,356,Model B,2
66.97913115,3.934640862,60.43965679,26.53485084,29.60498379,112.9403484,14.0873948,Fast,97.18252104,LiFePO4,676,Model C,2
40.51268119,3.532019424,19.98905223,27.08849898,27.38345471,40.48024091,6.753412417,Slow,98.64931752,LiFePO4,338,Model B,1
41.42886172,4.110075764,50.23499894,30.11268307,18.7327988,99.79980352,11.89372753,Fast,97.62125449,Li-ion,900,Model A,2
75.3360111,4.181442278,51.43224441,38.82241625,15.5137929,93.85460534,13.52913848,Normal,97.2941723,Li-ion,137,Model A,2
90.7399234,4.178214499,87.81072486,37.52638866,20.69082771,26.37945563,8.611603572,Slow,98.27767929,LiFePO4,124,Model B,0
89.83777818,4.024756282,59.19833982,22.05135925,23.86067413,58.72231412,10.48798305,Normal,97.90240339,LiFePO4,509,Model B,1
80.18879913,3.591060368,44.23604941,27.85461487,27.34211889,48.27654571,9.425216175,Normal,98.11495676,LiFePO4,560,Model B,1
67.78284815,4.030784237,97.91202957,31.06742379,31.99918661,50.44904244,9.146600467,Slow,98.17067991,LiFePO4,670,Model B,1
17.57259685,3.517210842,19.9648534,30.06264945,18.92491433,118.294688,12.23965298,Normal,97.5520694,Li-ion,516,Model C,2
24.54658427,3.515486486,48.02935855,23.87726136,17.5109958,84.27774135,9.444337394,Normal,98.11113252,LiFePO4,456,Model A,2
90.86987697,3.726527153,13.78222077,37.17633542,34.26959895,91.76761578,14.04961193,Normal,97.19007761,LiFePO4,482,Model C,2
64.57861537,3.842050233,76.59137087,33.53881566,17.16089119,117.6617637,14.71101853,Slow,97.05779629,LiFePO4,908,Model B,2
10.82773465,4.039285192,92.6268897,36.7581675,24.5698214,57.72017825,7.189309961,Slow,98.56213801,LiFePO4,257,Model C,1
19.13243886,3.978306764,35.20335966,37.17528559,26.71127458,100.1840168,11.16405429,Normal,97.76718914,LiFePO4,668,Model C,2
